AP,유동인구,mfr,group,name,lat,lng,address,region,setup,vpn ip,ip(option)
00067a08286a,,JMPSYSTEM,무실동,지하2층_지하대피소,37.34241,127.919711,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.154 ,192.168.11.120
00067a08276a,,JMPSYSTEM,무실동,지하1층_복도,37.342352,127.919658,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.142,192.168.11.110
00067a0827f2,,JMPSYSTEM,무실동,지하1층_다목적홀,37.341885,127.919855,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.158 ,192.168.11.111
00067a082826,,JMPSYSTEM,무실동,1층_시장실,37.342001,127.920011,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.234,192.168.11.10
00067a082786,,JMPSYSTEM,무실동,1층_민원담당관,37.342488,127.920042,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.226 ,192.168.11.11
00067a0825ea,,JMPSYSTEM,무실동,1층_장애인복지과,37.341775,127.920111,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.230 ,192.168.11.12
00067a0825fa,,JMPSYSTEM,무실동,1층_건축대장팀,37.342152,127.919598,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.10 ,192.168.11.13
00067a08281e,,JMPSYSTEM,무실동,2층_징수과-도의원실,37.342201,127.920069,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.238 ,192.168.11.20
00067a082792,,JMPSYSTEM,무실동,2층_복지정책과,37.341804,127.919691,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.218 ,192.168.11.21
00067a0824aa,,JMPSYSTEM,무실동,2층_여성가족과,37.342533,127.919655,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.222 ,192.168.11.22
00067a08291a,,JMPSYSTEM,무실동,2층_예산팀,37.341749,127.920088,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.242 ,192.168.11.23
00067a082832,,JMPSYSTEM,무실동,2층_기획예산과,37.342095,127.919793,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.250 ,192.168.11.24
00067a08284e,,JMPSYSTEM,무실동,2층_총무과,37.342234,127.920133,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.246 ,192.168.11.25
00067a082846,,JMPSYSTEM,무실동,2층_복도-승강기앞,37.341951,127.919719,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.45.254 ,192.168.11.26
00067a0825e6,,JMPSYSTEM,무실동,2층_생활보장과,37.342501,127.920067,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.6 ,192.168.11.27
00067a0827ca,,JMPSYSTEM,무실동,2층_시정홍보실,37.341799,127.919626,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.2 ,192.168.11.28
00067a0829f2,,JMPSYSTEM,무실동,3층_주택과,37.342055,127.919894,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.22 ,192.168.11.30
00067a08242a,,JMPSYSTEM,무실동,3층_대중교통과,37.342301,127.920066,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.14 ,192.168.11.31
00067a08254a,,JMPSYSTEM,무실동,3층_안전총괄과,37.341922,127.919677,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.18 ,192.168.11.32
00067a0827ee,,JMPSYSTEM,무실동,3층_교통행정과,37.342433,127.92015,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.30 ,192.168.11.33
00067a0827a6,,JMPSYSTEM,무실동,3층_도시재생과,37.341739,127.920111,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.34 ,192.168.11.34
00067a08285e,,JMPSYSTEM,무실동,3층_건축과,37.342125,127.919622,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.26 ,192.168.11.35
00067a0825fe,,JMPSYSTEM,무실동,4층_자치행정과,37.342255,127.920124,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.218 ,192.168.11.40
00067a08293e,,JMPSYSTEM,무실동,4층_도로관리과,37.341974,127.919648,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.38 ,192.168.11.41
00067a0824e2,,JMPSYSTEM,무실동,4층_건설과,37.342541,127.919934,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.42 ,192.168.11.42
00067a08294e,,JMPSYSTEM,무실동,4층_생태하천과,37.341785,127.920051,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.46 ,192.168.11.43
00067a082472,,JMPSYSTEM,무실동,4층_허가과,37.342031,127.919736,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.254 ,192.168.11.44
00067a082836,,JMPSYSTEM,무실동,5층_체육과,37.342279,127.920165,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.58 ,192.168.11.50
00067a08247e,,JMPSYSTEM,무실동,5층_정보통신과,37.341835,127.91958,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.54 ,192.168.11.51
00067a0824be,,JMPSYSTEM,무실동,6층_산림과,37.342512,127.919701,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.66,192.168.11.60
00067a0829be,,JMPSYSTEM,무실동,6층_자원순환과,37.341742,127.91997,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.62,192.168.11.61
00067a082962,,JMPSYSTEM,무실동,6층_환경과,37.342111,127.91983,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.70,192.168.11.62
00067a08248a,,JMPSYSTEM,무실동,6층_에너지과,37.342325,127.920093,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.74 ,192.168.11.63
00067a0827da,,JMPSYSTEM,무실동,6층_기후대응과,37.341908,127.919679,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.78 ,192.168.11.64
00067a08292a,,JMPSYSTEM,무실동,6층_공원녹지과,37.342468,127.920125,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.82 ,192.168.11.65
00067a08297a,,JMPSYSTEM,무실동,7층_국방협력,37.341819,127.920077,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.86 ,192.168.11.70
00067a08248e,,JMPSYSTEM,무실동,7층_회의실(대),37.342084,127.919758,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.98 ,192.168.11.71
00067a082966,,JMPSYSTEM,무실동,7층_도시계획과,37.34222,127.92014,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.90 ,192.168.11.72
00067a082752,,JMPSYSTEM,무실동,7층_부시장실,37.341852,127.919632,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.94 ,192.168.11.73
00067a082982,,JMPSYSTEM,무실동,7층_회의실,37.342525,127.919728,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.102 ,192.168.11.74
00067a082656,,JMPSYSTEM,무실동,8층_문화예술과,37.341757,127.919864,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.110 ,192.168.11.80
00067a08284a,,JMPSYSTEM,무실동,8층_첨단산업과,37.342045,127.919929,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.106 ,192.168.11.81
00067a082862,,JMPSYSTEM,무실동,8층_교육청소년과,37.342291,127.920099,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.114 ,192.168.11.82
00067a08240E,,JMPSYSTEM,무실동,8층_지역개발과,37.341944,127.919667,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.122 ,192.168.11.83
00067a08283e,,JMPSYSTEM,무실동,8층_회계과,37.342495,127.920033,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.130 ,192.168.11.84
00067a0827c6,,JMPSYSTEM,무실동,9층_관광과,37.341792,127.920188,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.118 ,192.168.11.90
00067a0825da,,JMPSYSTEM,무실동,9층_투자유치과,37.342068,127.919842,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.134 ,192.168.11.91
00067a08245a,,JMPSYSTEM,무실동,9층_기업지원일자리과,37.342207,127.920087,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.126,192.168.11.92
00067a08276e,,JMPSYSTEM,무실동,9층_경제진흥과,37.34187,127.919688,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.138 ,192.168.11.93
00067a082612,,JMPSYSTEM,무실동,9층_재산관리과,37.34187,127.919688,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.162 ,192.168.11.94
00067a082532,,JMPSYSTEM,무실동,10층_감사관,37.342508,127.919692,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.146 ,192.168.11.100
00067a0824e6,,JMPSYSTEM,무실동,10층_식당,37.342508,127.919692,강원특별자치도 원주시 시청로 1,무실동,1차,10.8.46.150 ,192.168.11.101